Pos,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%
C,26.7,4.5,7.6,0.592,0,0,0.333,1.9,3.2,0.582
PF,33.6,6.1,11,0.557,0,0.2,0.143,3.7,5.3,0.691
C,33.1,7.4,15,0.493,1.2,3,0.389,3,3.6,0.827
PF,6.5,0.5,1,0.5,0,0,,0,0,
SG,12.6,2.1,5.7,0.368,1,2.8,0.346,0.5,0.8,0.676
SG,18.9,3.1,6.6,0.466,1.5,3.7,0.404,1,1.2,0.867
C,26.5,4.3,6.6,0.649,0,0.1,0,2.4,3.9,0.633
SG,11.7,1.9,4.4,0.432,0.5,1.6,0.313,0.7,1.1,0.636
PF,21.1,1.4,4.8,0.291,0.5,2,0.25,1.1,1.6,0.655
SF,10.7,1,3.8,0.263,0.6,2.9,0.207,0.2,0.4,0.5
PF,19.9,2.3,4.9,0.474,0.4,1.3,0.282,0.8,1.2,0.667
C,7,1,3.5,0.286,0.5,2.5,0.2,0,0,
PF,30.4,10.9,19.7,0.553,1.4,4.7,0.304,6.3,10,0.633
PF,4,0.6,0.6,1,0,0,,0.2,0.4,0.5
SF,6.5,1.2,2.4,0.5,0,0.5,0,0.4,0.9,0.412
PF,32.8,5.8,13.5,0.43,1.5,3.9,0.385,2.3,2.8,0.845
SF,29.9,4.1,8.2,0.505,1.3,3.3,0.39,1,1.5,0.706
PG,16,1.6,3.8,0.409,0.9,2.4,0.391,0.5,0.7,0.711
SF,28.2,2.7,6.1,0.438,1.5,3.9,0.372,1.2,1.4,0.838
SF,24.7,2,5.2,0.388,1.3,3.8,0.352,0.7,0.8,0.778
SF,33.4,3.7,7.6,0.491,1.6,4,0.4,2,2.2,0.872
PG,24.9,3.2,8.1,0.399,1.2,3.5,0.348,2.8,3.2,0.89
C,32.5,8.2,14.9,0.546,0.1,0.3,0.231,1.8,2.3,0.753
SG,17.6,2.2,6.3,0.348,0.5,1.7,0.284,0.9,1.4,0.66
PF,25.7,6,12.8,0.467,0.3,1.7,0.182,1.9,2.4,0.806
PG,32.1,4.4,10.9,0.403,2.3,6.3,0.375,0.7,1.2,0.566
C,14.2,2.1,4.6,0.462,0.6,1.7,0.346,0.5,0.7,0.674
PG,15.5,2.9,7.1,0.411,1.1,2.9,0.376,0.7,0.8,0.909
PF,34.5,5.1,11,0.46,1.4,3.7,0.381,3,3.7,0.801
SG,30.4,5.2,13,0.402,1.1,3.5,0.32,2.8,4.5,0.614
